Loading parameters from parameters.yml: a success
Starting Simulation
day	diversity	tmrca	netau	serialInterval	antigenicDiversity	N	S	I	R	cases	meanLoad	antigenicTypes	cumulativeTypes
New ant mutant distance = 0.004107687775946097 Day = 1 Antigen Mutation on Type = 0
3010	9.103	8.204	2.107	0.107	0.000	4000	3981	19	0	5	11.000	1	1
3020	9.053	8.263	1.957	0.103	0.000	4000	3980	20	0	8	11.000	1	1
3030	10.083	8.277	3.425	0.109	0.000	4000	3980	20	0	6	11.000	1	1
3040	8.639	8.290	2.107	0.076	0.000	4000	3979	21	0	5	10.000	1	1
3050	8.366	8.290	1.957	0.066	0.000	4000	3980	20	0	4	11.000	1	1
3060	9.247	8.307	3.425	0.068	0.000	4000	3981	19	0	4	11.000	1	1
3070	8.978	8.311	1.957	0.066	0.000	4000	3981	19	0	3	11.000	1	1
3080	9.007	8.337	2.491	0.059	0.000	4000	3981	19	0	4	11.000	1	1
3090	9.405	8.347	3.914	0.066	0.000	4000	3980	20	0	2	11.000	1	1
3100	8.844	8.373	2.491	0.073	0.000	4000	3980	20	0	2	11.000	1	1
